"group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"CEPA",31.7837298969374,226.358361919282,2.17971073956303,27.4341125330577,19.4045467516408,50.1459012775557,68.2635044730698,102.131329308858,0.663225066322507,48.7296959600167,77.8879491199788,20.8428130845847,57.705080085878,108.650250133566,39.4550469658566,216.986268223338,106.023077387785,83.2401666836061,62.6546920302666,82.4066643738775,0,6.10447370715968,104.203043152906,2.24711711316701,0.298129239025117,48.99901689159,112.885061278569,2.41916450318622,0,0,0
"OMPD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92142670271213,0,0,0,0,0,0,0,0,0
"MECI",0,0,0.384654836393476,0,0.158533878689876,0,0.682110344465724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348827068980553,0.935395360439012,0,0,0,0,0.708048147274015,0,0,0
"OXY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241648039630279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PBP2",53.4224685168081,138.059543471816,83.0598010052313,55.8257591877679,105.868924189099,88.6442215737721,63.7510821942965,75.3562482033592,65.9998565999857,34.3606830487297,81.81878409116,46.6656554931999,56.2531856725824,82.6412161833989,67.9327568212315,106.345653620471,73.6825147505991,93.0480739912593,63.8391910048794,69.8727502006191,104.926534140017,153.26589343333,45.6784734347718,40.3604156618582,89.6623686368041,81.6426847796943,122.325273269294,93.1968373849422,58.8631012445341,114.812347324006,5.28378057468535
"ROB",0,0,70.1097548466509,0,62.8111227369289,0,0,0.492792903782186,0,1.14535610162432,0,0,0,54.1794161931128,0,75.131570987841,0.543708089168127,0,0,0,0,64.053370541554,0.592417061611374,0,0,0,0,3.4222327118244,5.71812983518332,0,0
"L1",0,0,1.97456149348651,0,1.39509813247091,1.0789338172188,3.90901697405357,0,0,3.64431486880467,0,0,0,0,0,0,0,1.44831791848765,0,0,0,3.13944362082498,3.05562484410077,0,1.01860823333582,0,0,2.15364644795846,0,6.21807683766378,0
"MECC",0,0,0,0,0,0,1.78398090091036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7438263906211,0,0,0,0,1.88812839273071,0,0,0
"EMEA",0,0,0,0,0,0,0,0.657057205042914,6.79357567935757,0,0,0,0,0,0,0,0.684669445619122,0,0,1.87244449539531,0,0,0,0,0,0,0,0,0.961030224400557,0,29.743528853004
"ABEM",0,0,0,0,0,0,0,0,0,0,0.441666850694521,0,0,0,0,0,0,0,0,0.592303870992396,0,0,2.21376901970566,0.306923313017933,0,0,0.960582974494866,0.472032098182676,0,0,0
"ERMX",0,0,90.5990357985434,0,46.6723738862995,2.05978274196317,68.1323294068264,0,32.3008532300853,8.01749271137026,0,0,0.200793908221738,1.67565204720968,0.596391829431937,4.59742302341056,0,0,2.49275157343894,0,10.7173725151253,36.5832388593355,38.2888500873036,16.4423203402464,2.40987801545303,0,0,73.8730233655889,5.18956321176301,0,13.0610306340537
"TETZ",0,3.00681827806717,23.822956200636,0.212785360367207,14.9338913725863,9.66136190873201,52.3913214576173,0,37.7679787767979,58.777592669721,3.99708499878542,0,9.69989033563474,3.52129778036816,0,21.5957897283891,0,0.609818070942169,19.0403790396719,0.955328824181283,4.14866032843561,25.0719455829772,39.72312297331,21.5942473801903,42.955454522869,0,4.86916197416363,30.1805522775549,3.98827543126231,19.7646013768599,6.17430539064355
"VANXYC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576618134640334,0,0
"CAT",0,0.592893744970991,11.4883577802852,0.09119372587166,3.77310631281905,1.71648561830264,15.9771230684472,0,0,11.3494377342774,0.684583618576508,0.17695535669144,2.44041826915651,18.8692991403176,1.13687192485463,24.7413949549332,0,20.8100416709015,3.60653419135846,0.171959188352631,7.26015557476232,9.33112409522979,10.1958094287852,6.62077432367256,8.2979304861991,5.67521673071767,0.463729711825108,9.17512390842577,12.8297534957474,0,1.39515554500119
"ERM",0,0,0.153861934557391,0,0.602428739021529,0,0,0,3.49537534953754,8.01749271137026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350769500591924,0,0,0,0.413028085909842,2.35452404978137,0,6.02588458798385
"DFRA",0,5.12429593867785,5.69289157862345,8.05544578532997,23.7800818034814,4.95328706995905,2.25621113938663,8.00788468646052,20.0580770058077,1.50978758850479,10.798754499481,8.83512816623692,3.81508425621303,2.35562679100491,20.2027732220069,0.967878531244329,6.40367305020238,18.2437239556866,6.62965843999717,19.6988803546181,0,3.61908084067324,0.717136443003243,15.883281448678,3.67692728130978,0.178746983644651,11.2951308380258,2.74368657068681,45.4086781029263,17.9880079946702,26.77511279981
"YKKC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530372675199774,0,0,0,0,0,0.223596929268838,0,0,0,0,0,0
"YKKD",0,0,0,0,0,0.122606115593046,0.0524700264973634,0,0,0,0,0,0,0,0,0,0,0,0.106074535039955,0,0,0,0,0,0.248441032520931,0,0,0,0,0,0
"TMRB",0,0,0,0,0,0.171648561830264,0,0,0,0,0,0,0.108119796734782,0,0,0,0,0,0.141432713386606,0,0,0,0,0,0,0,0,0,0,0,0
"MPHC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0083115649489
